Wind speed,Linear,Nonlinear,IMF1+IMF2,Linear_Subseries,Nonlinear(t-1),Nonlinear(t-2),Nonlinear(t-3),Nonlinear(t-4),Linear_Pred,Nonlinear_Pred,y(t-1),y(t-2),y(t-3),y(t-4),Linear_Subseries_Pred
7.450 ,7.399 ,0.050 ,0.159 ,7.289 ,-0.034 ,0.004 ,0.080 ,-0.136 ,7.422 ,0.026 ,7.376 ,7.295 ,7.250 ,6.954 ,7.290 
7.240 ,7.286 ,-0.047 ,-0.079 ,7.318 ,0.050 ,-0.034 ,0.004 ,0.080 ,7.274 ,-0.031 ,7.449 ,7.376 ,7.295 ,7.250 ,7.330 
7.330 ,7.247 ,0.082 ,0.010 ,7.319 ,-0.047 ,0.050 ,-0.034 ,0.004 ,7.229 ,0.042 ,7.239 ,7.449 ,7.376 ,7.295 ,7.326 
7.140 ,7.307 ,-0.167 ,-0.142 ,7.281 ,0.082 ,-0.047 ,0.050 ,-0.034 ,7.339 ,-0.070 ,7.329 ,7.239 ,7.449 ,7.376 ,7.283 
7.470 ,7.303 ,0.171 ,0.248 ,7.226 ,-0.167 ,0.082 ,-0.047 ,0.050 ,7.338 ,0.174 ,7.140 ,7.329 ,7.239 ,7.449 ,7.204 
7.030 ,7.095 ,-0.062 ,-0.145 ,7.178 ,0.171 ,-0.167 ,0.082 ,-0.047 ,7.167 ,-0.037 ,7.474 ,7.140 ,7.329 ,7.239 ,7.183 
6.890 ,6.903 ,-0.016 ,-0.258 ,7.144 ,-0.062 ,0.171 ,-0.167 ,0.082 ,6.800 ,-0.028 ,7.033 ,7.474 ,7.140 ,7.329 ,7.154 
6.890 ,6.940 ,-0.052 ,-0.229 ,7.117 ,-0.016 ,-0.062 ,0.171 ,-0.167 ,6.981 ,0.026 ,6.886 ,7.033 ,7.474 ,7.140 ,7.123 
7.220 ,7.106 ,0.110 ,0.147 ,7.069 ,-0.052 ,-0.016 ,-0.062 ,0.171 ,7.096 ,0.136 ,6.888 ,6.886 ,7.033 ,7.474 ,7.093 
7.070 ,7.142 ,-0.073 ,0.095 ,6.974 ,0.110 ,-0.052 ,-0.016 ,-0.062 ,7.169 ,-0.030 ,7.216 ,6.888 ,6.886 ,7.033 ,6.975 
6.940 ,6.920 ,0.018 ,0.118 ,6.820 ,-0.073 ,0.110 ,-0.052 ,-0.016 ,6.994 ,0.007 ,7.069 ,7.216 ,6.888 ,6.886 ,6.825 
6.540 ,6.543 ,-0.007 ,-0.084 ,6.620 ,0.018 ,-0.073 ,0.110 ,-0.052 ,6.628 ,0.018 ,6.938 ,7.069 ,7.216 ,6.888 ,6.611 
6.180 ,6.152 ,0.029 ,-0.214 ,6.395 ,-0.007 ,0.018 ,-0.073 ,0.110 ,6.236 ,0.039 ,6.537 ,6.938 ,7.069 ,7.216 ,6.404 
5.820 ,5.783 ,0.033 ,-0.346 ,6.163 ,0.029 ,-0.007 ,0.018 ,-0.073 ,5.878 ,-0.011 ,6.181 ,6.537 ,6.938 ,7.069 ,6.168 
5.450 ,5.555 ,-0.105 ,-0.495 ,5.945 ,0.033 ,0.029 ,-0.007 ,0.018 ,5.481 ,-0.080 ,5.817 ,6.181 ,6.537 ,6.938 ,5.947 
5.820 ,5.688 ,0.131 ,0.055 ,5.763 ,-0.105 ,0.033 ,0.029 ,-0.007 ,5.560 ,0.100 ,5.450 ,5.817 ,6.181 ,6.537 ,5.755 
6.130 ,6.115 ,0.015 ,0.492 ,5.638 ,0.131 ,-0.105 ,0.033 ,0.029 ,6.098 ,-0.051 ,5.818 ,5.450 ,5.817 ,6.181 ,5.628 
6.350 ,6.443 ,-0.096 ,0.762 ,5.585 ,0.015 ,0.131 ,-0.105 ,0.033 ,6.450 ,-0.126 ,6.130 ,5.818 ,5.450 ,5.817 ,5.579 
6.350 ,6.326 ,0.021 ,0.738 ,5.609 ,-0.096 ,0.015 ,0.131 ,-0.105 ,6.418 ,0.044 ,6.347 ,6.130 ,5.818 ,5.450 ,5.602 
6.190 ,5.844 ,0.350 ,0.502 ,5.692 ,0.021 ,-0.096 ,0.015 ,0.131 ,5.932 ,0.090 ,6.347 ,6.347 ,6.130 ,5.818 ,5.706 
4.980 ,5.486 ,-0.509 ,-0.830 ,5.807 ,0.350 ,0.021 ,-0.096 ,0.015 ,5.426 ,-0.470 ,6.194 ,6.347 ,6.347 ,6.130 ,5.801 
5.960 ,5.671 ,0.288 ,0.031 ,5.928 ,-0.509 ,0.350 ,0.021 ,-0.096 ,5.549 ,0.236 ,4.977 ,6.194 ,6.347 ,6.347 ,5.929 
6.210 ,6.075 ,0.137 ,0.178 ,6.033 ,0.288 ,-0.509 ,0.350 ,0.021 ,6.202 ,0.060 ,5.959 ,4.977 ,6.194 ,6.347 ,6.030 
6.110 ,6.330 ,-0.219 ,0.005 ,6.106 ,0.137 ,0.288 ,-0.509 ,0.350 ,6.114 ,-0.269 ,6.211 ,5.959 ,4.977 ,6.194 ,6.108 
6.460 ,6.432 ,0.025 ,0.327 ,6.129 ,-0.219 ,0.137 ,0.288 ,-0.509 ,6.450 ,-0.001 ,6.111 ,6.211 ,5.959 ,4.977 ,6.140 
