Wind speed,Linear,Nonlinear,IMF1+IMF2,Linear_Subseries,Nonlinear(t-1),Nonlinear(t-2),Nonlinear(t-3),Nonlinear(t-4),Linear_Pred,Nonlinear_Pred,y(t-1),y(t-2),y(t-3),y(t-4),Linear_Subseries_Pred
12.960 ,12.976 ,-0.012 ,-0.487 ,13.451 ,-0.105 ,0.045 ,0.055 ,-0.143 ,12.962 ,0.096 ,13.030 ,13.236 ,13.235 ,13.122 ,13.457 
12.900 ,12.869 ,0.034 ,-0.588 ,13.491 ,-0.012 ,-0.105 ,0.045 ,0.055 ,12.875 ,0.150 ,12.964 ,13.030 ,13.236 ,13.235 ,13.498 
12.770 ,12.878 ,-0.112 ,-0.720 ,13.486 ,0.034 ,-0.012 ,-0.105 ,0.045 ,12.902 ,0.078 ,12.903 ,12.964 ,13.030 ,13.236 ,13.494 
12.900 ,12.872 ,0.026 ,-0.539 ,13.438 ,-0.112 ,0.034 ,-0.012 ,-0.105 ,12.900 ,0.181 ,12.766 ,12.903 ,12.964 ,13.030 ,13.445 
12.740 ,12.696 ,0.046 ,-0.603 ,13.345 ,0.026 ,-0.112 ,0.034 ,-0.012 ,12.766 ,0.133 ,12.898 ,12.766 ,12.903 ,12.964 ,13.356 
12.320 ,12.460 ,-0.142 ,-0.891 ,13.210 ,0.046 ,0.026 ,-0.112 ,0.034 ,12.428 ,0.006 ,12.742 ,12.898 ,12.766 ,12.903 ,13.218 
12.420 ,12.379 ,0.039 ,-0.620 ,13.039 ,-0.142 ,0.046 ,0.026 ,-0.112 ,12.380 ,0.171 ,12.318 ,12.742 ,12.898 ,12.766 ,13.045 
12.540 ,12.495 ,0.048 ,-0.301 ,12.844 ,0.039 ,-0.142 ,0.046 ,0.026 ,12.475 ,0.139 ,12.419 ,12.318 ,12.742 ,12.898 ,12.848 
12.680 ,12.735 ,-0.059 ,0.034 ,12.642 ,0.048 ,0.039 ,-0.142 ,0.046 ,12.633 ,0.007 ,12.543 ,12.419 ,12.318 ,12.742 ,12.646 
13.000 ,13.018 ,-0.015 ,0.555 ,12.448 ,-0.059 ,0.048 ,0.039 ,-0.142 ,12.968 ,0.035 ,12.676 ,12.543 ,12.419 ,12.318 ,12.450 
13.300 ,13.171 ,0.127 ,1.020 ,12.277 ,-0.015 ,-0.059 ,0.048 ,0.039 ,13.244 ,0.081 ,13.003 ,12.676 ,12.543 ,12.419 ,12.277 
12.840 ,12.993 ,-0.149 ,0.699 ,12.145 ,0.127 ,-0.015 ,-0.059 ,0.048 ,13.096 ,-0.108 ,13.298 ,13.003 ,12.676 ,12.543 ,12.143 
12.710 ,12.554 ,0.151 ,0.650 ,12.055 ,-0.149 ,0.127 ,-0.015 ,-0.059 ,12.601 ,0.074 ,12.844 ,13.298 ,13.003 ,12.676 ,12.058 
12.180 ,12.184 ,0.000 ,0.175 ,12.008 ,0.151 ,-0.149 ,0.127 ,-0.015 ,12.208 ,-0.090 ,12.705 ,12.844 ,13.298 ,13.003 ,12.008 
12.210 ,12.240 ,-0.035 ,0.203 ,12.002 ,0.000 ,0.151 ,-0.149 ,0.127 ,12.105 ,-0.121 ,12.183 ,12.705 ,12.844 ,13.298 ,11.996 
12.600 ,12.594 ,0.007 ,0.564 ,12.038 ,-0.035 ,0.000 ,0.151 ,-0.149 ,12.636 ,-0.032 ,12.205 ,12.183 ,12.705 ,12.844 ,12.033 
12.840 ,12.737 ,0.107 ,0.730 ,12.115 ,0.007 ,-0.035 ,0.000 ,0.151 ,12.799 ,0.019 ,12.602 ,12.205 ,12.183 ,12.705 ,12.109 
12.500 ,12.480 ,0.017 ,0.263 ,12.234 ,0.107 ,0.007 ,-0.035 ,0.000 ,12.478 ,-0.125 ,12.845 ,12.602 ,12.205 ,12.183 ,12.228 
12.100 ,12.170 ,-0.074 ,-0.298 ,12.394 ,0.017 ,0.107 ,0.007 ,-0.035 ,12.161 ,-0.183 ,12.497 ,12.845 ,12.602 ,12.205 ,12.387 
12.200 ,12.166 ,0.030 ,-0.400 ,12.596 ,-0.074 ,0.017 ,0.107 ,0.007 ,12.168 ,-0.005 ,12.096 ,12.497 ,12.845 ,12.602 ,12.588 
12.550 ,12.422 ,0.129 ,-0.290 ,12.840 ,0.030 ,-0.074 ,0.017 ,0.107 ,12.369 ,0.045 ,12.196 ,12.096 ,12.497 ,12.845 ,12.832 
12.620 ,12.727 ,-0.111 ,-0.502 ,13.118 ,0.129 ,0.030 ,-0.074 ,0.017 ,12.631 ,-0.162 ,12.550 ,12.196 ,12.096 ,12.497 ,13.114 
13.100 ,13.096 ,0.007 ,-0.302 ,13.405 ,-0.111 ,0.129 ,0.030 ,-0.074 ,12.937 ,-0.029 ,12.616 ,12.550 ,12.196 ,12.096 ,13.412 
13.690 ,13.612 ,0.076 ,0.015 ,13.673 ,0.007 ,-0.111 ,0.129 ,0.030 ,13.525 ,0.056 ,13.103 ,12.616 ,12.550 ,12.196 ,13.674 
14.100 ,14.144 ,-0.041 ,0.209 ,13.893 ,0.076 ,0.007 ,-0.111 ,0.129 ,14.098 ,-0.038 ,13.688 ,13.103 ,12.616 ,12.550 ,13.902 
14.390 ,14.369 ,0.025 ,0.356 ,14.038 ,-0.041 ,0.076 ,0.007 ,-0.111 ,14.437 ,-0.016 ,14.102 ,13.688 ,13.103 ,12.616 ,14.048 
14.080 ,14.169 ,-0.090 ,-0.003 ,14.083 ,0.025 ,-0.041 ,0.076 ,0.007 ,14.222 ,-0.029 ,14.393 ,14.102 ,13.688 ,13.103 ,14.095 
14.050 ,13.856 ,0.199 ,0.025 ,14.029 ,-0.090 ,0.025 ,-0.041 ,0.076 ,13.844 ,0.135 ,14.080 ,14.393 ,14.102 ,13.688 ,14.030 
13.510 ,13.709 ,-0.197 ,-0.370 ,13.883 ,0.199 ,-0.090 ,0.025 ,-0.041 ,13.785 ,-0.153 ,14.054 ,14.080 ,14.393 ,14.102 ,13.901 
13.710 ,13.710 ,0.000 ,0.053 ,13.657 ,-0.197 ,0.199 ,-0.090 ,0.025 ,13.708 ,0.076 ,13.512 ,14.054 ,14.080 ,14.393 ,13.665 
13.740 ,13.568 ,0.175 ,0.348 ,13.394 ,0.000 ,-0.197 ,0.199 ,-0.090 ,13.696 ,0.174 ,13.710 ,13.512 ,14.054 ,14.080 ,13.382 
13.140 ,13.236 ,-0.094 ,-0.005 ,13.147 ,0.175 ,0.000 ,-0.197 ,0.199 ,13.214 ,-0.116 ,13.742 ,13.710 ,13.512 ,14.054 ,13.143 
12.870 ,12.954 ,-0.086 ,-0.077 ,12.945 ,-0.094 ,0.175 ,0.000 ,-0.197 ,12.990 ,-0.065 ,13.142 ,13.742 ,13.710 ,13.512 ,12.956 
12.850 ,12.783 ,0.064 ,0.043 ,12.804 ,-0.086 ,-0.094 ,0.175 ,0.000 ,12.891 ,0.135 ,12.868 ,13.142 ,13.742 ,13.710 ,12.802 
12.730 ,12.633 ,0.099 ,-0.006 ,12.738 ,0.064 ,-0.086 ,-0.094 ,0.175 ,12.621 ,0.104 ,12.847 ,12.868 ,13.142 ,13.742 ,12.730 
12.520 ,12.575 ,-0.059 ,-0.235 ,12.751 ,0.099 ,0.064 ,-0.086 ,-0.094 ,12.479 ,-0.126 ,12.732 ,12.847 ,12.868 ,13.142 ,12.744 
12.600 ,12.754 ,-0.155 ,-0.214 ,12.813 ,-0.059 ,0.099 ,0.064 ,-0.086 ,12.712 ,-0.093 ,12.516 ,12.732 ,12.847 ,12.868 ,12.833 
13.230 ,13.041 ,0.189 ,0.348 ,12.883 ,-0.155 ,-0.059 ,0.099 ,0.064 ,13.053 ,0.238 ,12.599 ,12.516 ,12.732 ,12.847 ,12.883 
13.090 ,13.095 ,0.000 ,0.174 ,12.921 ,0.189 ,-0.155 ,-0.059 ,0.099 ,13.156 ,0.012 ,13.230 ,12.599 ,12.516 ,12.732 ,12.932 
12.920 ,12.931 ,-0.014 ,0.021 ,12.896 ,0.000 ,0.189 ,-0.155 ,-0.059 ,12.857 ,-0.121 ,13.095 ,13.230 ,12.599 ,12.516 ,12.901 
12.630 ,12.785 ,-0.151 ,-0.177 ,12.811 ,-0.014 ,0.000 ,0.189 ,-0.155 ,12.866 ,-0.100 ,12.917 ,13.095 ,13.230 ,12.599 ,12.799 
12.830 ,12.687 ,0.139 ,0.139 ,12.687 ,-0.151 ,-0.014 ,0.000 ,0.189 ,12.760 ,0.220 ,12.634 ,12.917 ,13.095 ,13.230 ,12.690 
12.540 ,12.441 ,0.100 ,-0.005 ,12.547 ,0.139 ,-0.151 ,-0.014 ,0.000 ,12.540 ,0.068 ,12.826 ,12.634 ,12.917 ,13.095 ,12.545 
12.100 ,12.247 ,-0.142 ,-0.308 ,12.413 ,0.100 ,0.139 ,-0.151 ,-0.014 ,12.057 ,-0.213 ,12.542 ,12.826 ,12.634 ,12.917 ,12.416 
12.360 ,12.388 ,-0.025 ,0.056 ,12.307 ,-0.142 ,0.100 ,0.139 ,-0.151 ,12.413 ,-0.021 ,12.105 ,12.542 ,12.826 ,12.634 ,12.305 
12.600 ,12.526 ,0.078 ,0.359 ,12.244 ,-0.025 ,-0.142 ,0.100 ,0.139 ,12.712 ,0.151 ,12.363 ,12.105 ,12.542 ,12.826 ,12.239 
12.210 ,12.215 ,-0.002 ,-0.021 ,12.233 ,0.078 ,-0.025 ,-0.142 ,0.100 ,12.246 ,0.051 ,12.604 ,12.363 ,12.105 ,12.542 ,12.229 
11.990 ,11.815 ,0.173 ,-0.248 ,12.235 ,-0.002 ,0.078 ,-0.025 ,-0.142 ,11.646 ,-0.039 ,12.212 ,12.604 ,12.363 ,12.105 ,12.270 
11.680 ,11.960 ,-0.281 ,-0.519 ,12.198 ,0.173 ,-0.002 ,0.078 ,-0.025 ,11.926 ,-0.317 ,11.988 ,12.212 ,12.604 ,12.363 ,12.209 
12.470 ,12.436 ,0.034 ,0.373 ,12.097 ,-0.281 ,0.173 ,-0.002 ,0.078 ,12.532 ,0.146 ,11.679 ,11.988 ,12.212 ,12.604 ,12.092 
12.490 ,12.296 ,0.199 ,0.562 ,11.933 ,0.034 ,-0.281 ,0.173 ,-0.002 ,12.550 ,0.260 ,12.470 ,11.679 ,11.988 ,12.212 ,11.934 
11.790 ,11.598 ,0.191 ,0.065 ,11.725 ,0.199 ,0.034 ,-0.281 ,0.173 ,11.384 ,-0.117 ,12.495 ,12.470 ,11.679 ,11.988 ,11.720 
10.900 ,11.425 ,-0.522 ,-0.585 ,11.488 ,0.191 ,0.199 ,0.034 ,-0.281 ,11.288 ,-0.557 ,11.790 ,12.495 ,12.470 ,11.679 ,11.501 
12.190 ,11.933 ,0.255 ,0.941 ,11.247 ,-0.522 ,0.191 ,0.199 ,0.034 ,12.150 ,0.302 ,10.904 ,11.790 ,12.495 ,12.470 ,11.243 
11.980 ,11.777 ,0.202 ,0.927 ,11.051 ,0.255 ,-0.522 ,0.191 ,0.199 ,12.222 ,0.237 ,12.188 ,10.904 ,11.790 ,12.495 ,11.026 
10.670 ,10.633 ,0.042 ,-0.282 ,10.956 ,0.202 ,0.255 ,-0.522 ,0.191 ,10.400 ,-0.254 ,11.978 ,12.188 ,10.904 ,11.790 ,10.939 
9.700 ,10.070 ,-0.374 ,-1.320 ,11.016 ,0.042 ,0.202 ,0.255 ,-0.522 ,9.783 ,-0.478 ,10.674 ,11.978 ,12.188 ,10.904 ,10.987 
11.420 ,11.175 ,0.243 ,0.172 ,11.246 ,-0.374 ,0.042 ,0.202 ,0.255 ,11.005 ,0.250 ,9.697 ,10.674 ,11.978 ,12.188 ,11.244 
12.690 ,12.674 ,0.015 ,1.119 ,11.571 ,0.243 ,-0.374 ,0.042 ,0.202 ,12.835 ,0.159 ,11.418 ,9.697 ,10.674 ,11.978 ,11.616 
13.060 ,12.824 ,0.234 ,1.164 ,11.894 ,0.015 ,0.243 ,-0.374 ,0.042 ,12.839 ,-0.047 ,12.689 ,11.418 ,9.697 ,10.674 ,11.895 
11.520 ,11.857 ,-0.336 ,-0.603 ,12.124 ,0.234 ,0.015 ,0.243 ,-0.374 ,11.828 ,-0.500 ,13.059 ,12.689 ,11.418 ,9.697 ,12.146 
11.510 ,11.499 ,0.013 ,-0.675 ,12.187 ,-0.336 ,0.234 ,0.015 ,0.243 ,11.292 ,0.062 ,11.521 ,13.059 ,12.689 ,11.418 ,12.192 
12.420 ,12.080 ,0.337 ,0.347 ,12.069 ,0.013 ,-0.336 ,0.234 ,0.015 ,12.390 ,0.317 ,11.512 ,11.521 ,13.059 ,12.689 ,12.062 
12.160 ,12.353 ,-0.193 ,0.379 ,11.781 ,0.337 ,0.013 ,-0.336 ,0.234 ,12.414 ,-0.262 ,12.416 ,11.512 ,11.521 ,13.059 ,11.808 
11.670 ,11.733 ,-0.062 ,0.270 ,11.401 ,-0.193 ,0.337 ,0.013 ,-0.336 ,11.694 ,-0.152 ,12.160 ,12.416 ,11.512 ,11.521 ,11.365 
11.150 ,10.979 ,0.167 ,0.058 ,11.088 ,-0.062 ,-0.193 ,0.337 ,0.013 ,11.030 ,0.094 ,11.671 ,12.160 ,12.416 ,11.512 ,11.030 
10.770 ,10.818 ,-0.045 ,-0.240 ,11.013 ,0.167 ,-0.062 ,-0.193 ,0.337 ,10.900 ,-0.047 ,11.146 ,11.671 ,12.160 ,12.416 ,10.966 
10.930 ,11.136 ,-0.206 ,-0.299 ,11.229 ,-0.045 ,0.167 ,-0.062 ,-0.193 ,11.016 ,-0.068 ,10.773 ,11.146 ,11.671 ,12.160 ,11.259 
12.140 ,11.506 ,0.634 ,0.419 ,11.721 ,-0.206 ,-0.045 ,0.167 ,-0.062 ,11.411 ,0.265 ,10.930 ,10.773 ,11.146 ,11.671 ,11.686 
11.200 ,11.898 ,-0.703 ,-1.246 ,12.442 ,0.634 ,-0.206 ,-0.045 ,0.167 ,11.706 ,-0.670 ,12.140 ,10.930 ,10.773 ,11.146 ,12.434 
12.950 ,12.828 ,0.120 ,-0.367 ,13.316 ,-0.703 ,0.634 ,-0.206 ,-0.045 ,12.362 ,0.274 ,11.196 ,12.140 ,10.930 ,10.773 ,13.292 
14.880 ,14.276 ,0.603 ,0.683 ,14.196 ,0.120 ,-0.703 ,0.634 ,-0.206 ,14.192 ,0.428 ,12.949 ,11.196 ,12.140 ,10.930 ,14.245 
15.120 ,15.650 ,-0.526 ,0.207 ,14.917 ,0.603 ,0.120 ,-0.703 ,0.634 ,15.396 ,-0.495 ,14.879 ,12.949 ,11.196 ,12.140 ,14.941 
16.290 ,16.331 ,-0.038 ,0.951 ,15.343 ,-0.526 ,0.603 ,0.120 ,-0.703 ,16.374 ,-0.071 ,15.124 ,14.879 ,12.949 ,11.196 ,15.372 
16.120 ,15.897 ,0.227 ,0.653 ,15.471 ,-0.038 ,-0.526 ,0.603 ,0.120 ,16.323 ,0.311 ,16.294 ,15.124 ,14.879 ,12.949 ,15.425 
15.270 ,14.856 ,0.418 ,-0.095 ,15.369 ,0.227 ,-0.038 ,-0.526 ,0.603 ,14.812 ,0.047 ,16.124 ,16.294 ,15.124 ,14.879 ,15.379 
13.570 ,14.399 ,-0.832 ,-1.552 ,15.119 ,0.418 ,0.227 ,-0.038 ,-0.526 ,14.232 ,-0.810 ,15.275 ,16.124 ,16.294 ,15.124 ,15.128 
15.370 ,14.998 ,0.370 ,0.569 ,14.799 ,-0.832 ,0.418 ,0.227 ,-0.038 ,14.969 ,0.400 ,13.567 ,15.275 ,16.124 ,16.294 ,14.804 
15.860 ,15.510 ,0.352 ,1.374 ,14.487 ,0.370 ,-0.832 ,0.418 ,0.227 ,15.839 ,0.333 ,15.368 ,13.567 ,15.275 ,16.124 ,14.493 
14.920 ,15.081 ,-0.161 ,0.665 ,14.255 ,0.352 ,0.370 ,-0.832 ,0.418 ,14.925 ,-0.246 ,15.862 ,15.368 ,13.567 ,15.275 ,14.243 
13.610 ,14.151 ,-0.543 ,-0.516 ,14.125 ,-0.161 ,0.352 ,0.370 ,-0.832 ,14.347 ,-0.433 ,14.921 ,15.862 ,15.368 ,13.567 ,14.145 
14.460 ,13.530 ,0.934 ,0.445 ,14.018 ,-0.543 ,-0.161 ,0.352 ,0.370 ,13.651 ,0.664 ,13.609 ,14.921 ,15.862 ,15.368 ,14.081 
12.690 ,13.321 ,-0.633 ,-1.145 ,13.833 ,0.934 ,-0.543 ,-0.161 ,0.352 ,13.405 ,-0.604 ,14.464 ,13.609 ,14.921 ,15.862 ,13.855 
13.560 ,13.350 ,0.207 ,0.075 ,13.482 ,-0.633 ,0.934 ,-0.543 ,-0.161 ,13.148 ,0.043 ,12.688 ,14.464 ,13.609 ,14.921 ,13.522 
13.320 ,13.243 ,0.079 ,0.373 ,12.950 ,0.207 ,-0.633 ,0.934 ,-0.543 ,13.546 ,-0.020 ,13.557 ,12.688 ,14.464 ,13.609 ,12.937 
12.610 ,12.850 ,-0.243 ,0.337 ,12.270 ,0.079 ,0.207 ,-0.633 ,0.934 ,12.805 ,-0.244 ,13.323 ,13.557 ,12.688 ,14.464 ,12.280 
12.310 ,11.956 ,0.359 ,0.810 ,11.504 ,-0.243 ,0.079 ,0.207 ,-0.633 ,12.447 ,0.251 ,12.607 ,13.323 ,13.557 ,12.688 ,11.506 
10.380 ,10.543 ,-0.163 ,-0.371 ,10.751 ,0.359 ,-0.243 ,0.079 ,0.207 ,10.793 ,-0.280 ,12.315 ,12.607 ,13.323 ,13.557 ,10.732 
9.120 ,9.297 ,-0.180 ,-1.002 ,10.119 ,-0.163 ,0.359 ,-0.243 ,0.079 ,9.253 ,-0.105 ,10.380 ,12.315 ,12.607 ,13.323 ,10.109 
9.250 ,8.894 ,0.359 ,-0.463 ,9.717 ,-0.180 ,-0.163 ,0.359 ,-0.243 ,8.901 ,0.284 ,9.117 ,10.380 ,12.315 ,12.607 ,9.676 
9.070 ,9.348 ,-0.275 ,-0.547 ,9.619 ,0.359 ,-0.180 ,-0.163 ,0.359 ,9.198 ,-0.198 ,9.253 ,9.117 ,10.380 ,12.315 ,9.593 
10.340 ,10.263 ,0.082 ,0.565 ,9.780 ,-0.275 ,0.359 ,-0.180 ,-0.163 ,9.918 ,0.081 ,9.072 ,9.253 ,9.117 ,10.380 ,9.824 
11.100 ,11.013 ,0.091 ,0.986 ,10.117 ,0.082 ,-0.275 ,0.359 ,-0.180 ,11.094 ,0.044 ,10.345 ,9.072 ,9.253 ,9.117 ,10.089 
11.070 ,11.231 ,-0.162 ,0.511 ,10.558 ,0.091 ,0.082 ,-0.275 ,0.359 ,11.197 ,-0.092 ,11.103 ,10.345 ,9.072 ,9.253 ,10.555 
11.330 ,11.123 ,0.203 ,0.285 ,11.041 ,-0.162 ,0.091 ,0.082 ,-0.275 ,11.073 ,0.122 ,11.069 ,11.103 ,10.345 ,9.072 ,11.018 
11.020 ,11.057 ,-0.042 ,-0.467 ,11.482 ,0.203 ,-0.162 ,0.091 ,0.082 ,11.123 ,-0.143 ,11.326 ,11.069 ,11.103 ,10.345 ,11.510 
10.910 ,11.171 ,-0.264 ,-0.893 ,11.801 ,-0.042 ,0.203 ,-0.162 ,0.091 ,11.144 ,-0.118 ,11.015 ,11.326 ,11.069 ,11.103 ,11.810 
11.770 ,11.444 ,0.326 ,-0.199 ,11.968 ,-0.264 ,-0.042 ,0.203 ,-0.162 ,11.301 ,0.346 ,10.907 ,11.015 ,11.326 ,11.069 ,11.956 
11.870 ,11.854 ,0.021 ,-0.137 ,12.011 ,0.326 ,-0.264 ,-0.042 ,0.203 ,11.764 ,-0.068 ,11.769 ,10.907 ,11.015 ,11.326 ,11.997 
12.170 ,12.422 ,-0.253 ,0.201 ,11.969 ,0.021 ,0.326 ,-0.264 ,-0.042 ,12.257 ,-0.277 ,11.875 ,11.769 ,10.907 ,11.015 ,11.974 
12.820 ,12.768 ,0.052 ,0.943 ,11.878 ,-0.253 ,0.021 ,0.326 ,-0.264 ,12.967 ,0.132 ,12.169 ,11.875 ,11.769 ,10.907 ,11.879 
12.570 ,12.333 ,0.239 ,0.795 ,11.777 ,0.052 ,-0.253 ,0.021 ,0.326 ,12.592 ,0.238 ,12.821 ,12.169 ,11.875 ,11.769 ,11.772 
11.400 ,11.391 ,0.008 ,-0.303 ,11.702 ,0.239 ,0.052 ,-0.253 ,0.021 ,11.352 ,-0.192 ,12.572 ,12.821 ,12.169 ,11.875 ,11.701 
10.550 ,11.047 ,-0.502 ,-1.147 ,11.692 ,0.008 ,0.239 ,0.052 ,-0.253 ,10.839 ,-0.366 ,11.399 ,12.572 ,12.821 ,12.169 ,11.681 
12.310 ,11.719 ,0.590 ,0.535 ,11.774 ,-0.502 ,0.008 ,0.239 ,0.052 ,11.707 ,0.531 ,10.545 ,11.399 ,12.572 ,12.821 ,11.764 
12.170 ,12.388 ,-0.219 ,0.236 ,11.932 ,0.590 ,-0.502 ,0.008 ,0.239 ,12.547 ,-0.153 ,12.309 ,10.545 ,11.399 ,12.572 ,11.944 
12.290 ,12.330 ,-0.043 ,0.143 ,12.144 ,-0.219 ,0.590 ,-0.502 ,0.008 ,12.126 ,-0.121 ,12.168 ,12.309 ,10.545 ,11.399 ,12.131 
12.010 ,11.957 ,0.056 ,-0.377 ,12.390 ,-0.043 ,-0.219 ,0.590 ,-0.502 ,12.006 ,0.012 ,12.287 ,12.168 ,12.309 ,10.545 ,12.387 
12.210 ,12.177 ,0.036 ,-0.438 ,12.652 ,0.056 ,-0.043 ,-0.219 ,0.590 ,11.941 ,0.005 ,12.013 ,12.287 ,12.168 ,12.309 ,12.645 
12.940 ,13.028 ,-0.090 ,0.040 ,12.898 ,0.036 ,0.056 ,-0.043 ,-0.219 ,13.009 ,-0.021 ,12.214 ,12.013 ,12.287 ,12.168 ,12.903 
13.670 ,13.652 ,0.017 ,0.574 ,13.095 ,-0.090 ,0.036 ,0.056 ,-0.043 ,13.684 ,0.056 ,12.938 ,12.214 ,12.013 ,12.287 ,13.101 
13.700 ,13.508 ,0.190 ,0.489 ,13.209 ,0.017 ,-0.090 ,0.036 ,0.056 ,13.555 ,0.089 ,13.669 ,12.938 ,12.214 ,12.013 ,13.223 
12.760 ,12.994 ,-0.235 ,-0.452 ,13.210 ,0.190 ,0.017 ,-0.090 ,0.036 ,12.987 ,-0.226 ,13.698 ,13.669 ,12.938 ,12.214 ,13.225 
12.770 ,12.772 ,-0.007 ,-0.333 ,13.098 ,-0.235 ,0.190 ,0.017 ,-0.090 ,12.819 ,0.078 ,12.758 ,13.698 ,13.669 ,12.938 ,13.097 
13.080 ,12.822 ,0.255 ,0.190 ,12.887 ,-0.007 ,-0.235 ,0.190 ,0.017 ,12.932 ,0.224 ,12.765 ,12.758 ,13.698 ,13.669 ,12.898 
12.590 ,12.777 ,-0.183 ,-0.045 ,12.638 ,0.255 ,-0.007 ,-0.235 ,0.190 ,12.740 ,-0.189 ,13.077 ,12.765 ,12.758 ,13.698 ,12.609 
12.510 ,12.593 ,-0.080 ,0.090 ,12.424 ,-0.183 ,0.255 ,-0.007 ,-0.235 ,12.572 ,-0.042 ,12.593 ,13.077 ,12.765 ,12.758 ,12.424 
12.530 ,12.333 ,0.201 ,0.246 ,12.288 ,-0.080 ,-0.183 ,0.255 ,-0.007 ,12.515 ,0.193 ,12.514 ,12.593 ,13.077 ,12.765 ,12.294 
11.960 ,12.072 ,-0.108 ,-0.265 ,12.229 ,0.201 ,-0.080 ,-0.183 ,0.255 ,12.039 ,-0.056 ,12.534 ,12.514 ,12.593 ,13.077 ,12.246 
11.950 ,11.959 ,-0.013 ,-0.289 ,12.235 ,-0.108 ,0.201 ,-0.080 ,-0.183 ,11.909 ,-0.012 ,11.964 ,12.534 ,12.514 ,12.593 ,12.225 
12.210 ,12.111 ,0.097 ,-0.078 ,12.285 ,-0.013 ,-0.108 ,0.201 ,-0.080 ,12.061 ,0.041 ,11.946 ,11.964 ,12.534 ,12.514 ,12.285 
12.280 ,12.438 ,-0.163 ,-0.046 ,12.321 ,0.097 ,-0.013 ,-0.108 ,0.201 ,12.385 ,-0.063 ,12.207 ,11.946 ,11.964 ,12.534 ,12.351 
12.720 ,12.589 ,0.134 ,0.446 ,12.277 ,-0.163 ,0.097 ,-0.013 ,-0.108 ,12.674 ,0.158 ,12.275 ,12.207 ,11.946 ,11.964 ,12.293 
12.270 ,12.263 ,0.002 ,0.165 ,12.101 ,0.134 ,-0.163 ,0.097 ,-0.013 ,12.417 ,-0.011 ,12.723 ,12.275 ,12.207 ,11.946 ,12.121 
11.700 ,11.677 ,0.027 ,-0.110 ,11.814 ,0.002 ,0.134 ,-0.163 ,0.097 ,11.677 ,-0.074 ,12.265 ,12.723 ,12.275 ,12.207 ,11.783 
10.960 ,11.187 ,-0.224 ,-0.488 ,11.452 ,0.027 ,0.002 ,0.134 ,-0.163 ,11.342 ,-0.112 ,11.704 ,12.265 ,12.723 ,12.275 ,11.473 
11.300 ,10.944 ,0.354 ,0.240 ,11.058 ,-0.224 ,0.027 ,0.002 ,0.134 ,10.945 ,0.278 ,10.964 ,11.704 ,12.265 ,12.723 ,11.053 
10.670 ,10.835 ,-0.169 ,-0.037 ,10.703 ,0.354 ,-0.224 ,0.027 ,0.002 ,10.862 ,-0.188 ,11.298 ,10.964 ,11.704 ,12.265 ,10.681 
10.830 ,10.812 ,0.021 ,0.375 ,10.458 ,-0.169 ,0.354 ,-0.224 ,0.027 ,10.729 ,-0.092 ,10.666 ,11.298 ,10.964 ,11.704 ,10.446 
10.580 ,10.623 ,-0.045 ,0.241 ,10.337 ,0.021 ,-0.169 ,0.354 ,-0.224 ,10.898 ,-0.021 ,10.833 ,10.666 ,11.298 ,10.964 ,10.359 
10.390 ,10.222 ,0.166 ,0.051 ,10.337 ,-0.045 ,0.021 ,-0.169 ,0.354 ,10.139 ,0.114 ,10.578 ,10.833 ,10.666 ,11.298 ,10.317 
10.080 ,9.966 ,0.114 ,-0.376 ,10.457 ,0.166 ,-0.045 ,0.021 ,-0.169 ,9.921 ,-0.135 ,10.389 ,10.578 ,10.833 ,10.666 ,10.440 
9.840 ,10.276 ,-0.437 ,-0.842 ,10.681 ,0.114 ,0.166 ,-0.045 ,0.021 ,10.095 ,-0.397 ,10.080 ,10.389 ,10.578 ,10.833 ,10.668 
11.440 ,11.073 ,0.367 ,0.471 ,10.969 ,-0.437 ,0.114 ,0.166 ,-0.045 ,10.958 ,0.356 ,9.839 ,10.080 ,10.389 ,10.578 ,10.978 
11.940 ,11.766 ,0.178 ,0.669 ,11.275 ,0.367 ,-0.437 ,0.114 ,0.166 ,11.730 ,0.011 ,11.440 ,9.839 ,10.080 ,10.389 ,11.276 
11.860 ,12.213 ,-0.353 ,0.306 ,11.554 ,0.178 ,0.367 ,-0.437 ,0.114 ,11.945 ,-0.464 ,11.944 ,11.440 ,9.839 ,10.080 ,11.555 
12.810 ,12.638 ,0.173 ,1.054 ,11.757 ,-0.353 ,0.178 ,0.367 ,-0.437 ,12.630 ,0.038 ,11.859 ,11.944 ,11.440 ,9.839 ,11.766 
12.910 ,12.869 ,0.045 ,1.073 ,11.841 ,0.173 ,-0.353 ,0.178 ,0.367 ,13.070 ,0.039 ,12.811 ,11.859 ,11.944 ,11.440 ,11.860 
12.730 ,12.603 ,0.125 ,0.955 ,11.773 ,0.045 ,0.173 ,-0.353 ,0.178 ,12.650 ,-0.039 ,12.914 ,12.811 ,11.859 ,11.944 ,11.785 
11.660 ,11.858 ,-0.194 ,0.093 ,11.571 ,0.125 ,0.045 ,0.173 ,-0.353 ,12.070 ,-0.316 ,12.728 ,12.914 ,12.811 ,11.859 ,11.558 
11.100 ,10.995 ,0.100 ,-0.167 ,11.262 ,-0.194 ,0.125 ,0.045 ,0.173 ,11.155 ,0.015 ,11.664 ,12.728 ,12.914 ,12.811 ,11.286 
